,date,jalore,churu,barmer,jaisalmer,ajmer,ganganagar,sikar,bikaner
75,1901-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,1901-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,1901-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,1901-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,1901-03-21,0.0,0.1361,0.0,0.0,0.0,0.0,0.4386,0.0
80,1901-03-22,0.0,0.0,0.4933,0.0,0.0,0.0,0.0,0.0
81,1901-03-23,0.0,0.6701,0.0,1.2699,0.0,0.3606,0.0,1.2983
82,1901-03-24,0.0,0.0,0.0,0.0,0.0,1.5593,0.0,0.0
83,1901-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,1901-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,1901-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,1901-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,1901-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,1901-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,1901-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,1901-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,1901-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,1901-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,1901-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,1901-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,1901-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,1901-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,1901-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,1901-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,1901-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,1901-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,1901-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,1901-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,1901-04-14,0.0,0.0,0.0,0.0,0.0,0.8067,0.0,0.0
104,1901-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,1901-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,1901-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,1901-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,1901-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,1901-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,1901-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,1901-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,1901-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,1901-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,1901-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,1901-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,1901-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,1901-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,1901-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,1901-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,1901-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,1901-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,1901-05-03,0.0,0.0,0.2221,0.0,0.0,0.1628,0.0,0.0
123,1901-05-04,1.5392,2.2262,0.0,0.0,0.0,0.5235,0.0,0.0
124,1901-05-05,1.4983,0.77,1.9286,0.0,2.154,3.5886,1.7132,0.0
125,1901-05-06,0.0,0.0,0.0,0.0,0.0,0.1879,0.0,0.0
126,1901-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,1901-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,1901-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,1901-05-10,0.0,1.483,0.0,0.0,0.0,0.0,4.7812,0.0
130,1901-05-11,0.0,0.517,0.0,0.0,0.1072,0.0,1.6668,0.0
131,1901-05-12,0.0,0.0,0.0,0.0,2.703,0.0,0.1905,21.5737
132,1901-05-13,0.0,0.1439,0.0,0.0,0.0,0.0,0.4129,0.0
133,1901-05-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4981
134,1901-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,1901-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,1901-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,1901-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,1901-05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,1901-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,1901-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,1901-05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,1901-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,1901-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,1901-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,1901-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,1901-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,1901-05-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,1901-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,1901-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.2193,0.0
150,1901-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.1316,0.0
151,1901-06-01,0.0,0.2057,0.0,0.0,8.1881,0.0,0.5702,0.0
152,1901-06-02,0.0,0.0,0.0,0.0,7.7289,0.0,0.192,0.2996
153,1901-06-03,0.0,0.0,0.0,0.0,0.692,2.6687,0.0,4.7989
154,1901-06-04,0.0,0.0,0.0,0.0,0.0,0.0,1.7584,0.0
